"Region","Dealer_For","Dealer Name","Channel","City","Model","Fuel_Type","Variant_Cd","Invoice","Direct Invoice","Cancel Invoice","Net Retail","Gross Exchg","Cancel Exchg","Net Exchg","Net Scrappage"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","PET","SRR4HL1","7","0","0","7","2","0","2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","WagonR","CNG","WARCGL1","4","0","1","3","2","0","2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","WagonR","CNG","WARCHL1","4","0","1","3","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW CELERIO","PET","CLR4CV1","3","0","1","2","2","0","2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","PET","SRR4GV1","3","0","0","3","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","WagonR","CNG","WARCHV1","8","0","2","6","3","1","2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","CNG","VZRCCV1","4","0","0","4","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ERTIGA","PET","ERR4GZ2","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","CNG","SRRCHV1","6","0","1","5","2","0","2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ALTO K10","PET","ATR4BV1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ALTO K10","PET","ATA4FV2","0","0","0","0","0","1","-1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZA4BZ2","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","DZIRE","CNG","DRRCJT1","10","0","0","10","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","CNG","VZRCCZ1","3","0","1","2","2","1","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","WagonR","PET","WAR4HV1","1","0","1","0","1","1","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ERTIGA","CNG","ERRCGT1","3","0","3","0","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW CELERIO","PET","CLR4CL1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","CNG","SRRCEV1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","WagonR","PET","WAR4HL1","1","0","0","1","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ALTO K10","PET","ATA4BV1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ALTO K10","PET","ATR4EL1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZA4BV1","1","0","0","1","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZR4CZ1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","PET","SRA4HZ1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","DZIRE","CNG","DRRCJV1","2","0","1","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZA4BZ1","3","0","0","3","1","0","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","EECO","CNG","VRXCEH2","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZR4CL1","2","0","0","2","1","1","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ERTIGA","CNG","ERRCGV1","4","0","1","3","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","PET","SRR4HV1","6","0","1","5","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","CNG","VZRCCL1","4","0","1","3","2","1","1","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","EECO","CNG","VRRCGAF","2","0","0","2","1","3","-2","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW SWIFT","PET","SRA4HV1","2","0","2","0","1","1","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW CELERIO","CNG","CLRCCV1","1","0","1","0","1","1","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW BREZZA","PET","VZR4CV1","2","0","1","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","NEW ERTIGA","CNG","ERRCGZ1","1","0","0","1","0","0","0","0"
"C2","9511-95","PREM MOTORS PVT. LTD.","NRM","GURUGRAM","DZIRE","CNG","DRRCJZ1","1","0","2","-1","0","0","0","0"
